,proverb,meaning,example
0,اب ابادانی می اورد,هرجا اب هست زندگی هم هست.,
1,اب از اب تکان نخوردن یا نجنبیدن,برقرار بودن ارامش و سکون,خیال کرد محشر کبرا شده، ولی اب از اب نجنبیده بود.
2,اب از اب تکون نخورده,هیچ اتفاقی نیفتاده.,
3,اب از چشم کسی گرفتن,کسی را به گریه انداختن,این روضه خوان ها فقط بلدند اب از چشم مردم بگیرند.
4,اب از دست کسی نچکیدن,بسیار خسیس بودن,به حاجی نمی شه امیدی داشت، اب از دستش نمی چکه.
5,اب از دستش نمی چکد,اشاره به ادم بسیار خسیس.,
6,اب از روی کسی بردن,( قدیم ) ابروی کسی را بردن؛ کسی را خوار کردن,اب از روی همگنان برد.
7,اب از سر یا گریبان کسی گذشتن,( قدیم ) به نهایت بیچارگی یا بدبختی یا ناامیدی رسیدن,دریای لطف بودی و من مانده با سراب دل انگهت شناخت که اب از سرم گذشت ( ه. الف. سایه )
8,اب از سرچشمه گل الود بودن,نابه سامانی از مبدا یا از مبدا و منشا کار یا از مقامات بالا بودن,با اخراج یک کارمند جزء کارها درست درست نمی شود، اب از سرچشمه گل الود است.
9,اب از گلوی کسی بریدن,منافع یا مزد یا اسایش کسی را از میان بردن,اب از گلوی بچه هاش می بره که مثلا می خواد پس انداز کنه.
10,اب از لب و لوچه راه افتادن یا اب دهان کسی راه افتادن,از فرط میل و رغبت بیخود شدن، تحریک شدن اشتها یا به کسی متمایل شدن.,
11,اب از لب و لوچه ی کسی راه افتادن,یا سرازیر شدننمایان شدن ارزو و اشتیاق درونی کسی,طوری از غذای ان مهمانی تعریف می کرد که اب از لک ولوچه ی همه سرازیر شد.
12,اب از کمر گذشتن,در خطر قرار گرفتن,کنون کوش کاب از کمر درگذشت.
13,اب افتادن دهان یا دهن کسی,به هوس افتادن؛ مشتاق چیزی شدن,تا اسم پول را اوردند، چشم هایش برق زد و دهانش اب افتاد.
14,اب باریکه,(  ) ( اسم ) ۱ - اب کم . ۲ - در امد اندک دخل کم.,
15,اب بر اتش کسی ریختن,ارام یا ساکت کردن کسی، خشم کسی را فرونشاندن,با گفتن چند جمله توانست ابی بر اتش مرد خشمگین بریزد و او را ارام کند. توضیح: هیجان و خشم را در بسیاری از فرهنگ ها به اتش تشبیه کرده اند، که شعله ی ان با ریختن اب فروکش می کند.
16,اب بر یا به اتش زدن,1- ارام کردن؛ تسکین دادن؛ شوروشوق درون را کم کردن یا ازبین بردن 2- خشم یا اشوبی را فرونشاندن,1- گر بر اتش نمی زنی ابی، اتشم در دل خراب مزن ( عطار )  2- با گفتن چند جمله ابی بر اتش مرد خشمگین زد و او را از ان تصمیم منصرف کرد.
17,اب برای کسی نداشتن نان برای دیگری داشتن,اگر برای شخص اصلی سودی ندارد، برای شخص دیگری سود دارد.,اگه این کار برای ما ابی نداشت، برای گردن کلفت ها و نورچشمی هاشون که نون داشت !توضیح: گویا این اصط. به داستان زیر بازمی گردد:  گویند زمانی حاج میرزا اقاسی به حفر قنات امر داده بود. روزی که برای بازدید چاه ها رفت، مقنی گفت که کندن قنات در این جا بی حاصل است چون این زمین اب ندارد. حاجی جواب داد: بله ! اگر برای من اب ندارد برای تو که نان دارد.  ( برگرفته از: علی اکبر دهخدا - امثال و حکم، جلد 1 )
18,اب برداشتن چیزی,پیامد ناخوشایند داشتن یا زیانمند بودن چیزی,دوست عزیز، این کارها اب برمی دارند، دور من یکی را خط بکش.
19,اب به اب بخوره زور بر می داره,اتحاد و همبستگی موجب قدرت است.,
20,اب به اب شدن,از جایی به جایی دیگر رفتن.,
21,اب به غربال پیمودن یا اب در هاون کوبیدن یا سودن,کار بیهوده یا بی نتیجه کردن,- نصیحت همه عالم چو باد در قفس است به گوش مردم نادان و اب در غربال ( سعدی )  - افسوس که هرچه می کردند، اب به غربال پیمودن بود.  - نیکی در حق فرومایگان اب در هاون کوبیدن است.
22,اب به کسی روا نداشتن,نسبت به کسی بخیل بودن؛ به کسی دشمنی ورزیدن,این دو برادر اب به همدیگر روا ندارند.
23,اب پاکی رو دست کسی ریختن,اخرین جواب رد را به کسی مثل خواستگار یا طلبکار دادن.,
24,اب پاکی روی دست کسی ریختن,کسی را ناامید کردن؛ قاطعانه جواب منفی به کسی دادن,"مدیر ورشکستگی گفت: ""با کمال تاسف باید اعلام کنم که شرکت پولی برای پرداخت دستمزدهای معوقه ندارد. "" و با این حرف اب پاکی را روی دست همه ریخت."
25,اب تو دلش تکان نمی خوره,اشاره به ادم راحت و بی دغدغه و اسوده، کسی که هیچ زحمت و اذیت و فشاری برایش وجود ندارد.,
26,اب توبه سر کسی ریختن,کسی ( معمولا زنی هرجایی ) را توبه دادن,می گفتند ان زن را از شهرنو اورده، اب توبه سرش ریخته و با او ازدواج کرده است.
